Sakabay;04049584800000;sakabay;BEAUTE;AADELSON;VAL;Ap #122-5198 Ac Avenue;Apatou;
Nam Consulting;71241041400007;nam-consulting;BEAUTE;JDUJARDIN;VAL;P.O. Box 488, 981 Fermentum Rd.;Awala-Yalimapo;COIF|ESTH
Donec Corporation;50909851300005;donec-corporation;BEAUTE;35382;VAL;P.O. Box 832, 7722 Urna, Avenue;Camopi;MASS
Orci Corp.;72480124600005;orci-corp;BEAUTE;41882;ENC;Ap #376-2995 Cras Av.;Cayenne;
Neque LLC;93138011700008;neque-llc;BEAUTE;22429;REF;748-5675 Non Street;Grand-Santi;
Phasellus Inc.;38058613100001;phasellus-inc;BEAUTE;97099;VAL;P.O. Box 414, 6545 Vulputate St.;Iracoubo;
Sem Inc.;19701630600007;sem-inc;RESTAU;52847;VAL;618-903 Dictum Av.;Kourou;
Mi Company;73612984200000;mi-company;RESTAU;00918;VAL;7403 Ullamcorper, Road;Macouria;HOT|REST
Pretium Neque Consulting;41946838400005;semper-pretium-neque-consulting;RESTAU;38027;VAL;5947 Elit, Rd.;Mana;REST|TRAIT
Velit Inc.;85788587500008;velit-inc;RESTAU;36056;ENC;231-2158 Integer Av.;Maripasoula;
Nascetur LLP;24246513600008;nascetur-llp;RESTAU;73641;REF;2829 Lobortis St.;Matoury;
Nascetur Ridiculus Mus LLP;05763324000007;nascetur-ridiculus-mus-llp;RESTAU;79543;VAL;1507 Ullamcorper. Street;Montsinéry-Tonnegrande;
Semper Pretium Neque Consulting;89760990500004;duis-mi-pc;SERV;18948;VAL;993-3799 Dapibus Road;Ouanary;
Gravida Mauris Ut Foundation;02740314600007;gravida-mauris-ut-foundation;SERV;45264;VAL;2452 Nec, St.;Papaichton;INFELEC
Urna Nullam Lobortis LLC;62899899900005;urna-nullam-lobortis-llc;SERV;39193;VAL;P.O. Box 777, 7856 Sollicitudin Road;Régina;INF
Euismod Urna Inc.;15702008200002;euismod-urna-inc;SERV;62050;ENC;9562 Elit Street;Régina;
Rutrum Justo Institute;22037405200003;rutrum-justo-instituteap;SERV;41443;ENC;3597 Fames St.;Remire-Montjoly;
Dui Cum Sociis Institute;09097284500003;dui-cum-sociis-institute;SERV;83391;VAL;P.O. Box 975, 2370 Laoreet Av.;Roura;
